dataset,strategy,trial,seed,aubc,final_accuracy,source
pol,US,9,9,0,0,tabpfn_results_20260104_003947.json
pol,Core-Set,9,9,0,0,tabpfn_results_20260104_003947.json
ionosphere,Random,6,6,0,0,tabpfn_results_20260104_003947.json
pol,Core-Set,7,7,0,0,tabpfn_results_20260104_003947.json
pol,Core-Set,6,6,0,0,tabpfn_results_20260104_003947.json
pol,Core-Set,5,5,0,0,tabpfn_results_20260104_003947.json
pol,Core-Set,4,4,0,0,tabpfn_results_20260104_003947.json
pol,Core-Set,3,3,0,0,tabpfn_results_20260104_003947.json
pol,Core-Set,2,2,0,0,tabpfn_results_20260104_003947.json
pol,Core-Set,1,1,0,0,tabpfn_results_20260104_003947.json
pol,US,8,8,0,0,tabpfn_results_20260104_003947.json
pol,Core-Set,0,0,0,0,tabpfn_results_20260104_003947.json
pol,Random,8,8,0,0,tabpfn_results_20260104_003947.json
pol,Random,7,7,0,0,tabpfn_results_20260104_003947.json
pol,Random,6,6,0,0,tabpfn_results_20260104_003947.json
pol,Random,5,5,0,0,tabpfn_results_20260104_003947.json
pol,Random,4,4,0,0,tabpfn_results_20260104_003947.json
pol,Random,3,3,0,0,tabpfn_results_20260104_003947.json
pol,Random,2,2,0,0,tabpfn_results_20260104_003947.json
pol,Random,1,1,0,0,tabpfn_results_20260104_003947.json
pol,Random,0,0,0,0,tabpfn_results_20260104_003947.json
pol,Random,9,9,0,0,tabpfn_results_20260104_003947.json
ionosphere,Random,5,5,0,0,tabpfn_results_20260104_003947.json
splice,Core-Set,3,3,0,0,tabpfn_results_20260104_003947.json
ionosphere,Random,3,3,0,0,tabpfn_results_20260104_003947.json
splice,Random,8,8,0,0,tabpfn_results_20260104_003947.json
splice,Random,7,7,0,0,tabpfn_results_20260104_003947.json
splice,Random,6,6,0,0,tabpfn_results_20260104_003947.json
splice,Random,5,5,0,0,tabpfn_results_20260104_003947.json
splice,Random,4,4,0,0,tabpfn_results_20260104_003947.json
splice,Random,3,3,0,0,tabpfn_results_20260104_003947.json
splice,Random,2,2,0,0,tabpfn_results_20260104_003947.json
splice,Random,1,1,0,0,tabpfn_results_20260104_003947.json
splice,Random,0,0,0,0,tabpfn_results_20260104_003947.json
splice,US,9,9,0,0,tabpfn_results_20260104_003947.json
splice,US,8,8,0,0,tabpfn_results_20260104_003947.json
splice,US,7,7,0,0,tabpfn_results_20260104_003947.json
splice,US,6,6,0,0,tabpfn_results_20260104_003947.json
splice,US,5,5,0,0,tabpfn_results_20260104_003947.json
