dataset,strategy_1,strategy_2,n1,n2,mean_1,mean_2,mean_diff,t_statistic,p_value,cohens_d,significant_05,significant_01
pol,BALD,Core-Set,10,10,0.90220161281369,0.7879949989699409,0.1142066138437492,6.731319475482585,8.543974962007682e-05,3.2580034718452167,True,True
pol,BALD,Uncertainty Sampling (US),10,10,0.90220161281369,0.9017149560898705,0.00048665672381953407,0.21989760956732118,0.8308576137019625,0.06524847532597418,False,False
pol,BALD,Random,10,10,0.90220161281369,0.8637514140184276,0.03845019879526246,9.572166579702404,5.142848519286051e-06,3.4323307204670246,True,True
pol,Core-Set,Uncertainty Sampling (US),10,10,0.7879949989699409,0.9017149560898705,-0.11371995711992966,-7.002275968926704,6.308870188474586e-05,-3.263182005058696,True,True
pol,Core-Set,Random,10,10,0.7879949989699409,0.8637514140184276,-0.07575641504848674,-5.296507160148139,0.0004961432819570486,-2.1138717869839287,True,True
pol,Uncertainty Sampling (US),Random,10,10,0.9017149560898705,0.8637514140184276,0.037963542071442924,9.851077516561098,4.0536544592018165e-06,3.6004377861255277,True,True
ionosphere,Random,Core-Set,10,10,0.9164865768073968,0.9240484943002489,-0.007561917492852177,-2.514220895953014,0.03308085315593987,-0.5138820703139825,True,False
ionosphere,Random,BALD,10,10,0.9164865768073968,0.9357506219598234,-0.019264045152426634,-8.910458403596273,9.26510634340513e-06,-1.1736810132732425,True,True
ionosphere,Random,Uncertainty Sampling (US),10,10,0.9164865768073968,0.9347109279269246,-0.018224351119527804,-6.467072389678831,0.00011580905888644385,-1.1218385352305915,True,True
ionosphere,Core-Set,BALD,10,10,0.9240484943002489,0.9357506219598234,-0.011702127659574457,-5.223460533542223,0.000546670248830583,-0.8084247607408146,True,True
ionosphere,Core-Set,Uncertainty Sampling (US),10,10,0.9240484943002489,0.9347109279269246,-0.010662433626675627,-3.704465692180049,0.0048866583055584365,-0.7464533985202036,True,True
ionosphere,BALD,Uncertainty Sampling (US),10,10,0.9357506219598234,0.9347109279269246,0.0010396940328988302,0.7286710263616563,0.4847307529215036,0.064867571757953,False,False
splice,Core-Set,Random,20,20,0.6899421641791045,0.7417580845771143,-0.05181592039800986,-7.172107367251242,8.159824157336274e-07,-1.4152812733951372,True,True
splice,Core-Set,BALD,20,10,0.6899421641791045,0.7636641791044776,-0.07372201492537311,-6.28031976603199,1.4450414499273232e-06,-2.127893245528685,True,True
splice,Core-Set,Uncertainty Sampling (US),20,20,0.6899421641791045,0.7703927238805971,-0.08045055970149262,-9.046520600551794,2.5772952033821288e-08,-2.256669963602742,True,True
splice,Random,BALD,20,10,0.7417580845771143,0.7636641791044776,-0.02190609452736325,-3.2023195557541517,0.0036269227021280418,-1.1953911974210234,True,True
splice,Random,Uncertainty Sampling (US),20,20,0.7417580845771143,0.7703927238805971,-0.028634639303482756,-6.658584570699661,2.281597955885608e-06,-1.420343617683646,True,True
splice,BALD,Uncertainty Sampling (US),10,20,0.7636641791044776,0.7703927238805971,-0.006728544776119505,-1.0708528247104172,0.29555972252435936,-0.41229503632401343,False,False
