dataset,strategy,labeled_samples,accuracy_mean,accuracy_std,n_trials
ionosphere,BALD,20,0.8321513002364066,0.06282369691328069,51
ionosphere,BALD,21,0.8639587362991619,0.06033107706145498,11
ionosphere,BALD,22,0.8678272082527401,0.05185291879531424,11
ionosphere,BALD,23,0.877498388136686,0.05025871491129748,11
ionosphere,BALD,24,0.889103803997421,0.04293829609442664,11
ionosphere,BALD,25,0.8916827852998065,0.043729706147510185,11
ionosphere,BALD,26,0.8968407479045777,0.03676518533627413,11
ionosphere,BALD,27,0.9032882011605416,0.041629783255597484,11
ionosphere,BALD,28,0.9090909090909091,0.037369652651188474,11
ionosphere,BALD,29,0.9116698903932946,0.036490534944317754,11
ionosphere,BALD,30,0.9142488716956801,0.035241097707118745,11
ionosphere,BALD,31,0.9161831076724695,0.02170216979975096,11
ionosphere,BALD,32,0.9245647969052224,0.023580408924642134,11
ionosphere,BALD,33,0.9252095422308187,0.02895904331057351,11
ionosphere,BALD,34,0.9290780141843972,0.019030365765955695,11
ionosphere,BALD,35,0.9297227595099936,0.01861740504961973,11
ionosphere,BALD,36,0.9290780141843972,0.02005976684217159,11
ionosphere,BALD,37,0.9316569954867827,0.0220367123692474,11
ionosphere,BALD,38,0.9290780141843972,0.026536577211162725,11
ionosphere,BALD,39,0.9329464861379755,0.02423076114904865,11
ionosphere,BALD,40,0.9290780141843972,0.027099252729847922,11
ionosphere,BALD,41,0.935525467440361,0.0294910205023932,11
ionosphere,BALD,42,0.9368149580915538,0.02546376749625472,11
ionosphere,BALD,43,0.9297227595099936,0.02662259551523224,11
ionosphere,BALD,44,0.9303675048355899,0.02390779654124975,11
ionosphere,BALD,45,0.9329464861379755,0.024845710983878416,11
ionosphere,BALD,46,0.9361702127659574,0.02030896604720053,11
ionosphere,BALD,47,0.9361702127659574,0.02103886095629978,11
ionosphere,BALD,48,0.9381044487427467,0.02636369864637124,11
ionosphere,BALD,49,0.9445519019987105,0.0228316327654749,11
ionosphere,BALD,50,0.9432624113475178,0.021511703387380288,11
ionosphere,BALD,51,0.9406834300451322,0.019621878875489194,11
ionosphere,BALD,52,0.9426176660219213,0.02066607412969534,11
ionosphere,BALD,53,0.9445519019987105,0.019505011374534146,11
ionosphere,BALD,54,0.9464861379754996,0.02273127345429295,11
ionosphere,BALD,55,0.9490651192778853,0.02146914804721331,11
