dataset,strategy_code,strategy,seed,trial,n_labeled,accuracy,line_type
ionosphere,uniform,Random,0,0,113,0.950354609929078,update
ionosphere,uniform,Random,0,0,114,0.950354609929078,update
ionosphere,uniform,Random,0,0,115,0.950354609929078,update
ionosphere,uniform,Random,0,0,116,0.950354609929078,update
ionosphere,uniform,Random,0,0,117,0.950354609929078,update
ionosphere,uniform,Random,0,0,118,0.950354609929078,update
ionosphere,uniform,Random,0,0,119,0.950354609929078,update
ionosphere,uniform,Random,0,0,120,0.950354609929078,update
ionosphere,uniform,Random,0,0,121,0.950354609929078,update
ionosphere,uniform,Random,0,0,122,0.950354609929078,update
ionosphere,uniform,Random,0,0,123,0.950354609929078,update
ionosphere,uniform,Random,0,0,124,0.950354609929078,update
ionosphere,uniform,Random,0,0,125,0.950354609929078,update
ionosphere,uniform,Random,0,0,126,0.950354609929078,update
ionosphere,uniform,Random,0,0,127,0.950354609929078,update
ionosphere,uniform,Random,0,0,128,0.950354609929078,update
ionosphere,uniform,Random,0,0,129,0.950354609929078,update
ionosphere,uniform,Random,0,0,130,0.950354609929078,update
ionosphere,uniform,Random,0,0,131,0.950354609929078,update
ionosphere,uniform,Random,0,0,132,0.950354609929078,update
ionosphere,uniform,Random,0,0,133,0.9574468085106383,update
ionosphere,uniform,Random,0,0,134,0.9574468085106383,update
ionosphere,uniform,Random,0,0,135,0.950354609929078,update
ionosphere,uniform,Random,0,0,136,0.950354609929078,update
ionosphere,uniform,Random,0,0,137,0.950354609929078,update
ionosphere,uniform,Random,0,0,138,0.950354609929078,update
ionosphere,uniform,Random,0,0,139,0.950354609929078,update
ionosphere,uniform,Random,0,0,140,0.950354609929078,update
ionosphere,uniform,Random,0,0,141,0.950354609929078,update
ionosphere,uniform,Random,0,0,142,0.950354609929078,update
ionosphere,uniform,Random,0,0,143,0.9574468085106383,update
ionosphere,uniform,Random,0,0,144,0.9574468085106383,update
ionosphere,uniform,Random,0,0,145,0.9574468085106383,update
ionosphere,uniform,Random,0,0,146,0.9574468085106383,update
ionosphere,uniform,Random,0,0,147,0.9574468085106383,update
ionosphere,uniform,Random,0,0,148,0.9574468085106383,update
ionosphere,uniform,Random,0,0,149,0.9574468085106383,update
ionosphere,uniform,Random,0,0,150,0.9574468085106383,update
ionosphere,uniform,Random,0,0,151,0.9574468085106383,update
ionosphere,uniform,Random,0,0,152,0.9574468085106383,update
ionosphere,uniform,Random,0,0,153,0.9574468085106383,update
ionosphere,uniform,Random,0,0,154,0.9574468085106383,update
ionosphere,uniform,Random,0,0,155,0.9574468085106383,update
ionosphere,uniform,Random,0,0,156,0.9574468085106383,update
ionosphere,uniform,Random,0,0,157,0.9574468085106383,update
ionosphere,uniform,Random,0,0,158,0.9574468085106383,update
ionosphere,uniform,Random,0,0,159,0.9574468085106383,update
ionosphere,uniform,Random,0,0,160,0.9574468085106383,update
ionosphere,uniform,Random,0,0,161,0.9574468085106383,update
ionosphere,uniform,Random,0,0,162,0.9574468085106383,update
ionosphere,uniform,Random,0,0,163,0.9574468085106383,update
ionosphere,uniform,Random,0,0,164,0.950354609929078,update
ionosphere,uniform,Random,0,0,165,0.950354609929078,update
ionosphere,uniform,Random,0,0,166,0.950354609929078,update
