trial,train_aubc,AUBC,dataset,strategy_code,strategy
2,0.871813851884568,0.8636639515045648,pol,uniform,Random
3,0.8370912012922659,0.8338785862406293,pol,uniform,Random
4,0.877671075931304,0.8794109048114251,pol,uniform,Random
5,0.8724327609760754,0.8763053070871775,pol,uniform,Random
6,0.844907550197434,0.8471219405082201,pol,uniform,Random
7,0.8595092811689609,0.861831432966583,pol,uniform,Random
8,0.8674609264801797,0.8725724217987672,pol,uniform,Random
9,0.8678557123458587,0.8708706652702269,pol,uniform,Random
0,0.950959860383944,0.933830901191935,ionosphere,skal_coreset,Core-Set
1,0.9646970830216904,0.9297649548847056,ionosphere,skal_coreset,Core-Set
2,0.9518449264522562,0.928186847870484,ionosphere,skal_coreset,Core-Set
3,0.937646472201446,0.9304333296201404,ionosphere,skal_coreset,Core-Set
4,0.9613687359760658,0.9046452044112732,ionosphere,skal_coreset,Core-Set
5,0.968461730241835,0.9340351268055402,ionosphere,skal_coreset,Core-Set
6,0.9402393418100224,0.9141509784263488,ionosphere,skal_coreset,Core-Set
7,0.9732361007230116,0.9132969440421816,ionosphere,skal_coreset,Core-Set
8,0.9401271503365743,0.9445434629237685,ionosphere,skal_coreset,Core-Set
9,0.9555472450760408,0.9075971928261114,ionosphere,skal_coreset,Core-Set
0,0.9719770630765396,0.94606587204337,ionosphere,skal_bald,BALD
1,0.974482672650212,0.9354832720656492,ionosphere,skal_bald,BALD
2,0.9704811767638992,0.93897367346181,ionosphere,skal_bald,BALD
3,0.9709424083769634,0.9492406520366864,ionosphere,skal_bald,BALD
4,0.9793567688855648,0.9162303664921464,ionosphere,skal_bald,BALD
5,0.9793567688855648,0.9468827744977908,ionosphere,skal_bald,BALD
6,0.9725130890052356,0.919238052801604,ionosphere,skal_bald,BALD
7,0.979905260533533,0.9122572500092828,ionosphere,skal_bald,BALD
8,0.9692346048366992,0.966079982176674,ionosphere,skal_bald,BALD
9,0.9737721266517078,0.9270543240132192,ionosphere,skal_bald,BALD
0,0.8382877280265338,0.7772325870646766,splice,google_us_margin,Uncertainty Sampling (US)
1,0.8277280265339967,0.804023631840796,splice,google_us_margin,Uncertainty Sampling (US)
2,0.8314179104477613,0.7455161691542288,splice,google_us_margin,Uncertainty Sampling (US)
3,0.8090796019900499,0.7943967661691541,splice,google_us_margin,Uncertainty Sampling (US)
4,0.8397180762852406,0.755,splice,google_us_margin,Uncertainty Sampling (US)
5,0.8574253731343285,0.7556405472636817,splice,google_us_margin,Uncertainty Sampling (US)
6,0.8316210613598675,0.7579477611940297,splice,google_us_margin,Uncertainty Sampling (US)
7,0.8382918739635157,0.7540733830845773,splice,google_us_margin,Uncertainty Sampling (US)
8,0.8088681592039803,0.7801243781094528,splice,google_us_margin,Uncertainty Sampling (US)
